card_id,front,back,catalan,espanol,palabra,categoria_gramatical,usage_tags,audio_file_name
paraula_2667_01,Hi ha diferents {{c1::nivells}} de dificultat en el joc.<br>Hay diferentes niveles de dificultad en el juego.,[sound:hi_ha_diferents_nivells_de_dificultat_en_el_joc.mp3],Hi ha diferents nivells de dificultat en el joc.,Hay diferentes niveles de dificultad en el juego.,nivells,Noun,"Common, can be used in various contexts (games, education, etc.)",hi_ha_diferents_nivells_de_dificultat_en_el_joc.mp3
paraula_2668_01,Hem d'analitzar els {{c1::costes}} de producció.<br>Tenemos que analizar los {{c2::costes}} de producción.,[sound:hem_danalitzar_els_costes_de_producci.mp3],Hem d'analitzar els costes de producció.,Tenemos que analizar los costes de producción.,costes,Noun,"Common, finance",hem_danalitzar_els_costes_de_producci.mp3
paraula_2669_01,Necessito uns {{c1::minuts}} per preparar-me.<br>Necesito unos minutos para prepararme.,[sound:necessito_uns_minuts_per_prepararme.mp3],Necessito uns minuts per preparar-me.,Necesito unos minutos para prepararme.,minuts,Noun,"Common, time",necessito_uns_minuts_per_prepararme.mp3
paraula_2670_01,El parc de la ciutat té un nou {{c1::monument}}.<br>El parque de la ciudad tiene un nuevo monumento.,[sound:el_parc_de_la_ciutat_t_un_nou_monument.mp3],El parc de la ciutat té un nou monument.,El parque de la ciudad tiene un nuevo monumento.,monument,Noun,"Common, art, history",el_parc_de_la_ciutat_t_un_nou_monument.mp3
paraula_2671_01,La {{c1::sobirania}} nacional és inviolable.<br>La soberanía nacional es inviolable.,[sound:la_sobirania_nacional_s_inviolable.mp3],La sobirania nacional és inviolable.,La soberanía nacional es inviolable.,sobirania,Noun,"Formal, political, law",la_sobirania_nacional_s_inviolable.mp3
paraula_2672_01,Ell sempre compra cotxes usats.<br>Él siempre compra coches usados.,[sound:ell_sempre_compra_cotxes_usats.mp3],Ell sempre compra cotxes usats.,Él siempre compra coches usados.,usat,Adjective,"Common, describing state or condition",ell_sempre_compra_cotxes_usats.mp3
paraula_2673_01,Els {{c1::comunistes}} es van reunir per discutir sobre les polítiques econòmiques.<br>Los comunistas se reunieron para discutir sobre las políticas económicas.,[sound:els_comunistes_es_van_reunir_per_discutir_sobre_les_poltiques_econmiques.mp3],Els comunistes es van reunir per discutir sobre les polítiques econòmiques.,Los comunistas se reunieron para discutir sobre las políticas económicas.,comunistes,Noun,"Political, common",els_comunistes_es_van_reunir_per_discutir_sobre_les_poltiques_econmiques.mp3
paraula_2674_01,Ella té {{c1::dotze}} anys.<br>Ella tiene doce años.,[sound:ella_t_dotze_anys.mp3],Ella té dotze anys.,Ella tiene doce años.,dotze,Numeral,"Common, numbers",ella_t_dotze_anys.mp3
paraula_2675_01,Hi ha diverses {{c1::etapes}} en el procés de producció.<br>Hay varias etapas en el proceso de producción.,[sound:hi_ha_diverses_etapes_en_el_procs_de_producci.mp3],Hi ha diverses etapes en el procés de producció.,Hay varias etapas en el proceso de producción.,etapes,Noun,"Common, process",hi_ha_diverses_etapes_en_el_procs_de_producci.mp3
paraula_2676_01,Ella és una actriu {{c1::famosa}}.<br>Ella es una actriz {{c2::famosa}}.,[sound:ella_s_una_actriu_famosa.mp3],Ella és una actriu famosa.,Ella es una actriz famosa.,famosa,Adjective,"Common, descriptors",ella_s_una_actriu_famosa.mp3
paraula_2677_01,Els {{c1::socialistes}} estan a favor dels drets dels treballadors.<br>Los socialistas están a favor de los derechos de los trabajadores.,[sound:els_socialistes_estan_a_favor_dels_drets_dels_treballadors.mp3],Els socialistes estan a favor dels drets dels treballadors.,Los socialistas están a favor de los derechos de los trabajadores.,socialistes,Noun,"Political, common",els_socialistes_estan_a_favor_dels_drets_dels_treballadors.mp3
paraula_2678_01,Els meus {{c1::companys}} de treball són molt amigables.<br>Mis compañeros de trabajo son muy amigables.,[sound:els_meus_companys_de_treball_sn_molt_amigables.mp3],Els meus companys de treball són molt amigables.,Mis compañeros de trabajo son muy amigables.,companys,Noun,"Common, relations",els_meus_companys_de_treball_sn_molt_amigables.mp3
paraula_2679_01,Vull {{c1::dedicar}} més temps a la meva família.<br>Quiero {{c2::dedicar}} más tiempo a mi familia.,[sound:vull_dedicar_ms_temps_a_la_meva_famlia.mp3],Vull dedicar més temps a la meva família.,Quiero dedicar más tiempo a mi familia.,dedicar,Verb,"Common, actions",vull_dedicar_ms_temps_a_la_meva_famlia.mp3
paraula_2680_01,He llegit tots els seus {{c1::escrits}}.<br>He leído todos sus escritos.,[sound:he_llegit_tots_els_seus_escrits.mp3],He llegit tots els seus escrits.,He leído todos sus escritos.,escrits,Noun,"Common, literary",he_llegit_tots_els_seus_escrits.mp3
paraula_2681_01,Aquest {{c1::establiment}} ofereix una àmplia gamma de productes orgànics.<br>Este establecimiento ofrece una amplia gama de productos orgánicos.,[sound:aquest_establiment_ofereix_una_mplia_gamma_de_productes_orgnics.mp3],Aquest establiment ofereix una àmplia gamma de productes orgànics.,Este establecimiento ofrece una amplia gama de productos orgánicos.,establiment,Noun,"Common, commerce",aquest_establiment_ofereix_una_mplia_gamma_de_productes_orgnics.mp3
paraula_2682_01,El corredor va correr per la {{c1::pista}}.<br>El corredor corrió por la {{c2::pista}}.,[sound:el_corredor_va_correr_per_la_pista.mp3],El corredor va correr per la pista.,El corredor corrió por la pista.,pista,Noun,"Common, sports, games",el_corredor_va_correr_per_la_pista.mp3
paraula_2683_01,El {{c1::sobirà}} ha parlat al seu poble.<br>El soberano ha hablado a su pueblo.,[sound:el_sobir_ha_parlat_al_seu_poble.mp3],El sobirà ha parlat al seu poble.,El soberano ha hablado a su pueblo.,sobirà,Noun,"Common, formal",el_sobir_ha_parlat_al_seu_poble.mp3
paraula_2684_01,Ha decidit {{c1::substituir}} el seu cotxe vell per un de nou.<br>Ha decidido sustituir su coche viejo por uno nuevo.,[sound:ha_decidit_substituir_el_seu_cotxe_vell_per_un_de_nou.mp3],Ha decidit substituir el seu cotxe vell per un de nou.,Ha decidido sustituir su coche viejo por uno nuevo.,substituir,Verb,Common,ha_decidit_substituir_el_seu_cotxe_vell_per_un_de_nou.mp3
paraula_2693_01,Han preparat diversos {{c1::actes}} per al festival.<br>Han preparado varios actos para el festival.,[sound:han_preparat_diversos_actes_per_al_festival.mp3],Han preparat diversos actes per al festival.,Han preparado varios actos para el festival.,actes,Noun,"Common, activities",han_preparat_diversos_actes_per_al_festival.mp3
paraula_2694_01,La {{c1::decoració}} de la casa és molt acollidora.<br>La decoración de la casa es muy acogedora.,[sound:la_decoraci_de_la_casa_s_molt_acollidora.mp3],La decoració de la casa és molt acollidora.,La decoración de la casa es muy acogedora.,decoració,Noun,"Common, interior design",la_decoraci_de_la_casa_s_molt_acollidora.mp3
paraula_2695_01,La societat ha evolucionat cap a una estructura més {{c1::democràtica}}.<br>La sociedad ha evolucionado hacia una estructura más democrática.,[sound:la_societat_ha_evolucionat_cap_a_una_estructura_ms_democrtica.mp3],La societat ha evolucionat cap a una estructura més democràtica.,La sociedad ha evolucionado hacia una estructura más democrática.,democràtica,Adjective,"Common, politics",la_societat_ha_evolucionat_cap_a_una_estructura_ms_democrtica.mp3
paraula_2696_01,"De petit, vaig viure a {{c1::Saragossa}}.<br>De pequeño, viví en Zaragoza.",[sound:de_petit_vaig_viure_a_saragossa.mp3],"De petit, vaig viure a Saragossa.","De pequeño, viví en Zaragoza.",Saragossa,Noun,"Proper name, geography",de_petit_vaig_viure_a_saragossa.mp3
paraula_2697_01,Ha hagut un {{c1::augment}} significatiu de la temperatura.<br>Ha habido un aumento significativo de la temperatura.,[sound:ha_hagut_un_augment_significatiu_de_la_temperatura.mp3],Ha hagut un augment significatiu de la temperatura.,Ha habido un aumento significativo de la temperatura.,augment,Noun,"Common, statistics",ha_hagut_un_augment_significatiu_de_la_temperatura.mp3
paraula_2698_01,Tinc moltes {{c1::coses}} a fer avui.<br>Tengo muchas cosas que hacer hoy.,[sound:tinc_moltes_coses_a_fer_avui.mp3],Tinc moltes coses a fer avui.,Tengo muchas cosas que hacer hoy.,coses,Noun,"Common, general",tinc_moltes_coses_a_fer_avui.mp3
paraula_2699_01,He perdut alguns {{c1::documents}} importants.<br>He perdido algunos documentos importantes.,[sound:he_perdut_alguns_documents_importants.mp3],He perdut alguns documents importants.,He perdido algunos documentos importantes.,documents,Noun,"Common, paperwork",he_perdut_alguns_documents_importants.mp3
paraula_2700_01,La cultura de {{c1::Pèrsia}} és fascinant.<br>La cultura de Persia es fascinante.,[sound:la_cultura_de_prsia_s_fascinant.mp3],La cultura de Pèrsia és fascinant.,La cultura de Persia es fascinante.,Pèrsia,Noun,"Proper name, geography, history",la_cultura_de_prsia_s_fascinant.mp3
paraula_2701_01,El {{c1::Rin}} és un dels rius més importants d'Europa.<br>El {{c2::Rin}} es uno de los ríos más importantes de Europa.,[sound:el_rin_s_un_dels_rius_ms_importants_deuropa.mp3],El Rin és un dels rius més importants d'Europa.,El Rin es uno de los ríos más importantes de Europa.,Rin,Noun,"Proper name, geography",el_rin_s_un_dels_rius_ms_importants_deuropa.mp3
paraula_2702_01,Tinc una visita {{c1::breu}} aquesta tarda.<br>Tengo una visita breve esta tarde.,[sound:tinc_una_visita_breu_aquesta_tarda.mp3],Tinc una visita breu aquesta tarda.,Tengo una visita breve esta tarde.,breu,Adjective,"Common, time",tinc_una_visita_breu_aquesta_tarda.mp3
paraula_2702_02,Et trucaré de manera {{c1::breu}}.<br>Te llamaré pronto.,[sound:et_trucar_de_manera_breu.mp3],Et trucaré de manera breu.,Te llamaré pronto.,breu,Adverb,"Common, time",et_trucar_de_manera_breu.mp3
paraula_2703_01,Aquest llibre està {{c1::destinat}} a infants.<br>Este libro está destinado a niños.,[sound:aquest_llibre_est_destinat_a_infants.mp3],Aquest llibre està destinat a infants.,Este libro está destinado a niños.,destinat,Adjective,"common, formal",aquest_llibre_est_destinat_a_infants.mp3
paraula_2704_01,Aquests edificis són molt {{c1::moderns}}.<br>Estos edificios son muy modernos.,[sound:aquests_edificis_sn_molt_moderns.mp3],Aquests edificis són molt moderns.,Estos edificios son muy modernos.,moderns,Adjective,"common, formal",aquests_edificis_sn_molt_moderns.mp3
paraula_2705_01,Les armes soviètiques eren poderoses.<br>Las armas soviéticas eran poderosas.,[sound:les_armes_sovitiques_eren_poderoses.mp3],Les armes soviètiques eren poderoses.,Las armas soviéticas eran poderosas.,soviètics,Adjective,"common, formal, historical",les_armes_sovitiques_eren_poderoses.mp3
paraula_2706_01,"{{c1::arran}} d'aquest incident, van canviar les normes de seguretat.<br>A raíz de este incidente, cambiaron las normas de seguridad.",[sound:arran_daquest_incident_van_canviar_les_normes_de_seguretat.mp3],"Arran d'aquest incident, van canviar les normes de seguretat.","A raíz de este incidente, cambiaron las normas de seguridad.",arran,Preposition,"common, formal",arran_daquest_incident_van_canviar_les_normes_de_seguretat.mp3
paraula_2707_01,Ella és una fervent catòlica.<br>Ella es una ferviente católica.,[sound:ella_s_una_fervent_catlica.mp3],Ella és una fervent catòlica.,Ella es una ferviente católica.,catòlic,Adjective,"common, formal, religion",ella_s_una_fervent_catlica.mp3
paraula_2708_01,La defensa de la {{c1::humanitat}} és important.<br>La defensa de la humanidad es importante.,[sound:la_defensa_de_la_humanitat_s_important.mp3],La defensa de la humanitat és important.,La defensa de la humanidad es importante.,humanitat,Noun,"common, formal",la_defensa_de_la_humanitat_s_important.mp3
paraula_2709_01,Les finestres {{c1::laterals}} donen al jardí.<br>Las ventanas laterales dan al jardín.,[sound:les_finestres_laterals_donen_al_jard.mp3],Les finestres laterals donen al jardí.,Las ventanas laterales dan al jardín.,laterals,Adjective,"common, formal, architecture",les_finestres_laterals_donen_al_jard.mp3
paraula_2710_01,Els teus {{c1::ulls}} són molt bonics.<br>Tus ojos son muy bonitos.,[sound:els_teus_ulls_sn_molt_bonics.mp3],Els teus ulls són molt bonics.,Tus ojos son muy bonitos.,ulls,Noun,"common, formal, body",els_teus_ulls_sn_molt_bonics.mp3
paraula_2711_01,La {{c1::basa}} de la col·legiata romanica estava ben conservada.<br>La base de la colegiata románica estaba bien conservada.,[sound:la_basa_de_la_collegiata_romanica_estava_ben_conservada.mp3],La basa de la col·legiata romanica estava ben conservada.,La base de la colegiata románica estaba bien conservada.,basa,Noun,"common, formal, architecture",la_basa_de_la_collegiata_romanica_estava_ben_conservada.mp3
paraula_2712_01,{{c1::Eduard}} és el meu millor amic.<br>Edward es mi mejor amigo.,[sound:eduard_s_el_meu_millor_amic.mp3],Eduard és el meu millor amic.,Edward es mi mejor amigo.,Eduard,Proper noun,"common, names",eduard_s_el_meu_millor_amic.mp3
paraula_2713_01,El meu {{c1::entrenador}} de futbol és molt estricte.<br>Mi {{c2::entrenador}} de fútbol es muy estricto.,[sound:el_meu_entrenador_de_futbol_s_molt_estricte.mp3],El meu entrenador de futbol és molt estricte.,Mi entrenador de fútbol es muy estricto.,entrenador,Noun,"Common, sports",el_meu_entrenador_de_futbol_s_molt_estricte.mp3
paraula_2714_01,La seva {{c1::escrita}} és molt bonica.<br>Su escritura es muy bonita.,[sound:la_seva_escrita_s_molt_bonica.mp3],La seva escrita és molt bonica.,Su escritura es muy bonita.,escrita,Noun,"Common, Learning, Literature",la_seva_escrita_s_molt_bonica.mp3
paraula_2715_01,Els dos partits han fet un {{c1::pacte}}.<br>Los dos partidos han hecho un pacto.,[sound:els_dos_partits_han_fet_un_pacte.mp3],Els dos partits han fet un pacte.,Los dos partidos han hecho un pacto.,pacte,Noun,"Common, Legal, Politics",els_dos_partits_han_fet_un_pacte.mp3
paraula_2716_01,La meva {{c1::generació}} ha viscut molts canvis.<br>Mi generación ha vivido muchos cambios.,[sound:la_meva_generaci_ha_viscut_molts_canvis.mp3],La meva generació ha viscut molts canvis.,Mi generación ha vivido muchos cambios.,generació,Noun,"Common, Demographics",la_meva_generaci_ha_viscut_molts_canvis.mp3
paraula_2717_01,No em fa {{c1::gens}} de por.<br>No me da miedo en absoluto.,[sound:no_em_fa_gens_de_por.mp3],No em fa gens de por.,No me da miedo en absoluto.,gens,Adverb,Common,no_em_fa_gens_de_por.mp3
paraula_2718_01,L'exèrcit ha iniciat una {{c1::ofensiva}}.<br>El ejército ha iniciado una {{c2::ofensiva}}.,[sound:lexrcit_ha_iniciat_una_ofensiva.mp3],L'exèrcit ha iniciat una ofensiva.,El ejército ha iniciado una ofensiva.,ofensiva,Noun,"Military, News",lexrcit_ha_iniciat_una_ofensiva.mp3
paraula_2719_01,Hi ha {{c1::períodes}} de la història que em fascinen.<br>Hay períodos de la historia que me fascinan.,[sound:hi_ha_perodes_de_la_histria_que_em_fascinen.mp3],Hi ha períodes de la història que em fascinen.,Hay períodos de la historia que me fascinan.,períodes,Noun,"Common, Historical",hi_ha_perodes_de_la_histria_que_em_fascinen.mp3
paraula_2720_01,Ell {{c1::pren}} un cafè cada matí.<br>Él toma un café cada mañana.,[sound:ell_pren_un_caf_cada_mat.mp3],Ell pren un cafè cada matí.,Él toma un café cada mañana.,pren,Verb,Common,ell_pren_un_caf_cada_mat.mp3
paraula_2721_01,"A {{c1::continuació}}, presentaré el meu informe.<br>A continuación, presentaré mi informe.",[sound:a_continuaci_presentar_el_meu_informe.mp3],"A continuació, presentaré el meu informe.","A continuación, presentaré mi informe.",continuació,Noun,"Common, Formal",a_continuaci_presentar_el_meu_informe.mp3
paraula_2722_01,Ell està saltant la {{c1::corda}}.<br>Él está saltando la cuerda.,[sound:ell_est_saltant_la_corda.mp3],Ell està saltant la corda.,Él está saltando la cuerda.,corda,Noun,"Common, Sports, Home.",ell_est_saltant_la_corda.mp3
paraula_2723_01,Vull donar les gràcies a {{c1::déus}}.<br>Quiero dar gracias a Dios.,[sound:vull_donar_les_grcies_a_dus.mp3],Vull donar les gràcies a déus.,Quiero dar gracias a Dios.,déus,Noun,"Common, religious",vull_donar_les_grcies_a_dus.mp3
paraula_2724_01,L'automòbil {{c1::elèctric}} és una alternativa ecològica.<br>El automóvil eléctrico es una alternativa ecológica.,[sound:lautombil_elctric_s_una_alternativa_ecolgica.mp3],L'automòbil elèctric és una alternativa ecològica.,El automóvil eléctrico es una alternativa ecológica.,elèctric,Adjective,"Common, technology, environment",lautombil_elctric_s_una_alternativa_ecolgica.mp3
paraula_2725_01,{{c1::et}} veig demà.<br>Te veo mañana.,[sound:et_veig_dem.mp3],Et veig demà.,Te veo mañana.,et,Pronoun,"Common, informal",et_veig_dem.mp3
paraula_2726_01,El {{c1::monarca}} ha pronunciat un discurs a la nació.<br>El {{c2::monarca}} ha pronunciado un discurso a la nación.,[sound:el_monarca_ha_pronunciat_un_discurs_a_la_naci.mp3],El monarca ha pronunciat un discurs a la nació.,El monarca ha pronunciado un discurso a la nación.,monarca,Noun,"Common, formal, political",el_monarca_ha_pronunciat_un_discurs_a_la_naci.mp3
paraula_2727_01,He comprat {{c1::trenta}} pomes.<br>He comprado treinta manzanas.,[sound:he_comprat_trenta_pomes.mp3],He comprat trenta pomes.,He comprado treinta manzanas.,trenta,Numeral,"Common, numerical",he_comprat_trenta_pomes.mp3
paraula_2728_01,La meva {{c1::cambra}} és al segon pis.<br>Mi habitación está en el segundo piso.,[sound:la_meva_cambra_s_al_segon_pis.mp3],La meva cambra és al segon pis.,Mi habitación está en el segundo piso.,cambra,Noun,"Common, furniture, housing",la_meva_cambra_s_al_segon_pis.mp3
paraula_2729_01,La {{c1::composta}} és bona per al sòl.<br>La compost es bueno para el suelo.,[sound:la_composta_s_bona_per_al_sl.mp3],La composta és bona per al sòl.,La compost es bueno para el suelo.,composta,Noun,"Common, environment, gardening",la_composta_s_bona_per_al_sl.mp3
paraula_2730_01,Estic {{c1::perdut}} en aquesta ciutat.<br>Estoy perdido en esta ciudad.,[sound:estic_perdut_en_aquesta_ciutat.mp3],Estic perdut en aquesta ciutat.,Estoy perdido en esta ciudad.,perdut,Adjective,"Common, informal",estic_perdut_en_aquesta_ciutat.mp3
paraula_2731_01,Hi ha vuit {{c1::planetes}} en el nostre sistema solar.<br>Hay ocho planetas en nuestro sistema solar.,[sound:hi_ha_vuit_planetes_en_el_nostre_sistema_solar.mp3],Hi ha vuit planetes en el nostre sistema solar.,Hay ocho planetas en nuestro sistema solar.,planetes,Noun,"Common, astronomy",hi_ha_vuit_planetes_en_el_nostre_sistema_solar.mp3
paraula_2732_01,L'{{c1::acte}} es celebrarà a l'auditori.<br>El acto se celebrará en el auditorio.,[sound:lacte_es_celebrar_a_lauditori.mp3],L'acte es celebrarà a l'auditori.,El acto se celebrará en el auditorio.,acte,Noun,"Common, formal, events",lacte_es_celebrar_a_lauditori.mp3
paraula_2733_01,Vaig veure una gran {{c1::ona}} venir cap a mi.<br>Vi una gran ola viniendo hacia mí.,[sound:vaig_veure_una_gran_ona_venir_cap_a_mi.mp3],Vaig veure una gran ona venir cap a mi.,Vi una gran ola viniendo hacia mí.,ona,Noun,"Common, Nature",vaig_veure_una_gran_ona_venir_cap_a_mi.mp3
paraula_2734_01,Tenim grans {{c1::plans}} per aquest estiu.<br>Tenemos grandes planes para este verano.,[sound:tenim_grans_plans_per_aquest_estiu.mp3],Tenim grans plans per aquest estiu.,Tenemos grandes planes para este verano.,plans,Noun,"Common, General",tenim_grans_plans_per_aquest_estiu.mp3
paraula_2735_01,Els {{c1::turcs}} són coneguts per la seva hospitalitat.<br>Los turcos son conocidos por su hospitalidad.,[sound:els_turcs_sn_coneguts_per_la_seva_hospitalitat.mp3],Els turcs són coneguts per la seva hospitalitat.,Los turcos son conocidos por su hospitalidad.,turcs,Noun,"Common, People",els_turcs_sn_coneguts_per_la_seva_hospitalitat.mp3
paraula_2736_01,El meu {{c1::can}} és el meu millor amic.<br>Mi perro es mi mejor amigo.,[sound:el_meu_can_s_el_meu_millor_amic.mp3],El meu can és el meu millor amic.,Mi perro es mi mejor amigo.,can,Noun,"Common, Animals",el_meu_can_s_el_meu_millor_amic.mp3
paraula_2737_01,La ideologia {{c1::nazi}} va dominar Alemanya durant la Segona Guerra Mundial.<br>La ideología {{c2::nazi}} dominó Alemania durante la Segunda Guerra Mundial.,[sound:la_ideologia_nazi_va_dominar_alemanya_durant_la_segona_guerra_mundial.mp3],La ideologia nazi va dominar Alemanya durant la Segona Guerra Mundial.,La ideología nazi dominó Alemania durante la Segunda Guerra Mundial.,nazi,Noun,"Common, Historical",la_ideologia_nazi_va_dominar_alemanya_durant_la_segona_guerra_mundial.mp3
paraula_2738_01,Vaig veure els nous {{c1::comercials}} a la tele.<br>Vi los nuevos comerciales en la televisión.,[sound:vaig_veure_els_nous_comercials_a_la_tele.mp3],Vaig veure els nous comercials a la tele.,Vi los nuevos comerciales en la televisión.,comercials,Noun,"Common, Media",vaig_veure_els_nous_comercials_a_la_tele.mp3
paraula_2739_01,M'agrada el {{c1::gel}} de vainilla.<br>Me gusta el helado de vainilla.,[sound:magrada_el_gel_de_vainilla.mp3],M'agrada el gel de vainilla.,Me gusta el helado de vainilla.,gel,Noun,"Common, Food",magrada_el_gel_de_vainilla.mp3
paraula_2739_02,Em poso {{c1::gel}} als cabells cada matí.<br>Me pongo {{c2::gel}} en el cabello cada mañana.,[sound:em_poso_gel_als_cabells_cada_mat.mp3],Em poso gel als cabells cada matí.,Me pongo gel en el cabello cada mañana.,gel,Noun,"Common, Personal care",em_poso_gel_als_cabells_cada_mat.mp3
paraula_2740_01,"{{c1::històricament}}, aquesta ciutat ha estat molt important.<br>Históricamente, esta ciudad ha sido muy importante.",[sound:histricament_aquesta_ciutat_ha_estat_molt_important.mp3],"Històricament, aquesta ciutat ha estat molt important.","Históricamente, esta ciudad ha sido muy importante.",històricament,Adverb,"Common, History",histricament_aquesta_ciutat_ha_estat_molt_important.mp3
paraula_2741_01,{{c1::Prússia}} va ser una gran potència en el segle XIX.<br>Prusia fue una gran potencia en el siglo XIX.,[sound:prssia_va_ser_una_gran_potncia_en_el_segle_xix.mp3],Prússia va ser una gran potència en el segle XIX.,Prusia fue una gran potencia en el siglo XIX.,Prússia,Proper noun,"Common, Geography, History",prssia_va_ser_una_gran_potncia_en_el_segle_xix.mp3
paraula_2742_01,M'encanta {{c1::viatjar}} per tot el món.<br>Me encanta viajar por todo el mundo.,[sound:mencanta_viatjar_per_tot_el_mn.mp3],M'encanta viatjar per tot el món.,Me encanta viajar por todo el mundo.,viatjar,Verb,"Common, General",mencanta_viatjar_per_tot_el_mn.mp3
paraula_2743_01,El meu veí és {{c1::cristià}}.<br>Mi vecino es cristiano.,[sound:el_meu_ve_s_cristi.mp3],El meu veí és cristià.,Mi vecino es cristiano.,cristià,Noun/Adjective,"Common, Religion",el_meu_ve_s_cristi.mp3
paraula_2744_01,Hem de pintar una altra {{c1::capa}} de pintura.<br>Tenemos que pintar otra {{c2::capa}} de pintura.,[sound:hem_de_pintar_una_altra_capa_de_pintura.mp3],Hem de pintar una altra capa de pintura.,Tenemos que pintar otra capa de pintura.,capa,Noun,Common,hem_de_pintar_una_altra_capa_de_pintura.mp3
paraula_2744_02,L'heroi porta una {{c1::capa}}.<br>El héroe lleva una {{c2::capa}}.,[sound:lheroi_porta_una_capa.mp3],L'heroi porta una capa.,El héroe lleva una capa.,capa,Noun,"Common, Clothing",lheroi_porta_una_capa.mp3
paraula_2745_01,Aquesta és una llista {{c1::completa}}.<br>Esta es una lista {{c2::completa}}.,[sound:aquesta_s_una_llista_completa.mp3],Aquesta és una llista completa.,Esta es una lista completa.,completa,Adjective,Common,aquesta_s_una_llista_completa.mp3
paraula_2746_01,Podem dividir la taronja en quarters.<br>Podemos dividir la naranja en cuartos.,[sound:podem_dividir_la_taronja_en_quarters.mp3],Podem dividir la taronja en quarters.,Podemos dividir la naranja en cuartos.,quarter,Noun,"Common, Mathematics",podem_dividir_la_taronja_en_quarters.mp3
paraula_2747_01,He {{c1::realitzat}} la feina que em vas donar.<br>He realizado el trabajo que me diste.,[sound:he_realitzat_la_feina_que_em_vas_donar.mp3],He realitzat la feina que em vas donar.,He realizado el trabajo que me diste.,realitzat,Verb,Common,he_realitzat_la_feina_que_em_vas_donar.mp3
paraula_2748_01,Mira el {{c1::calendari}} per veure quan és la propera reunió.<br>Mira el calendario para ver cuando es la próxima reunión.,[sound:mira_el_calendari_per_veure_quan_s_la_propera_reuni.mp3],Mira el calendari per veure quan és la propera reunió.,Mira el calendario para ver cuando es la próxima reunión.,calendari,Noun,"Common, Time",mira_el_calendari_per_veure_quan_s_la_propera_reuni.mp3
paraula_2749_01,Tenen una {{c1::disputa}} sobre qui va guanyar.<br>Tienen una {{c2::disputa}} sobre quién ganó.,[sound:tenen_una_disputa_sobre_qui_va_guanyar.mp3],Tenen una disputa sobre qui va guanyar.,Tienen una disputa sobre quién ganó.,disputa,Noun,Common,tenen_una_disputa_sobre_qui_va_guanyar.mp3
paraula_2750_01,Ella és una escriptora famosa.<br>Ella es una escritora famosa.,[sound:ella_s_una_escriptora_famosa.mp3],Ella és una escriptora famosa.,Ella es una escritora famosa.,escriptor,Noun,"Common, Occupation",ella_s_una_escriptora_famosa.mp3
paraula_2751_01,El president té molts {{c1::poders}}.<br>El presidente tiene muchos poderes.,[sound:el_president_t_molts_poders.mp3],El president té molts poders.,El presidente tiene muchos poderes.,poders,Noun,"Common, Politics",el_president_t_molts_poders.mp3
paraula_2752_01,Ell ha explicat les seves {{c1::teories}} sobre l'origen de l'univers.<br>Él ha explicado sus teorías sobre el origen del universo.,[sound:ell_ha_explicat_les_seves_teories_sobre_lorigen_de_lunivers.mp3],Ell ha explicat les seves teories sobre l'origen de l'univers.,Él ha explicado sus teorías sobre el origen del universo.,teories,Noun,"Common, Science",ell_ha_explicat_les_seves_teories_sobre_lorigen_de_lunivers.mp3
paraula_2753_01,El rei va {{c1::cedir}} el tron al seu fill.<br>El rey cedió el trono a su hijo.,[sound:el_rei_va_cedir_el_tron_al_seu_fill.mp3],El rei va cedir el tron al seu fill.,El rey cedió el trono a su hijo.,cedir,Verb,"Common, law, history",el_rei_va_cedir_el_tron_al_seu_fill.mp3
paraula_2754_01,La terra completa un {{c1::cicle}} al voltant del sol cada any.<br>La tierra completa un ciclo alrededor del sol cada año.,[sound:la_terra_completa_un_cicle_al_voltant_del_sol_cada_any.mp3],La terra completa un cicle al voltant del sol cada any.,La tierra completa un ciclo alrededor del sol cada año.,cicle,Noun,"Common, science, nature",la_terra_completa_un_cicle_al_voltant_del_sol_cada_any.mp3
paraula_2755_01,El gat mou la {{c1::cua}} quan està content.<br>El gato mueve la cola cuando está contento.,[sound:el_gat_mou_la_cua_quan_est_content.mp3],El gat mou la cua quan està content.,El gato mueve la cola cuando está contento.,cua,Noun,"Common, animals",el_gat_mou_la_cua_quan_est_content.mp3
paraula_2755_02,Hi ha una llarga {{c1::cua}} al supermercat.<br>Hay una larga cola en el supermercado.,[sound:hi_ha_una_llarga_cua_al_supermercat.mp3],Hi ha una llarga cua al supermercat.,Hay una larga cola en el supermercado.,cua,Noun,"Common, daily life",hi_ha_una_llarga_cua_al_supermercat.mp3
paraula_2756_01,Les cultures {{c1::orientals}} són fascinants.<br>Las culturas orientales son fascinantes.,[sound:les_cultures_orientals_sn_fascinants.mp3],Les cultures orientals són fascinants.,Las culturas orientales son fascinantes.,orientals,Adjective,"Common, geography",les_cultures_orientals_sn_fascinants.mp3
paraula_2757_01,{{c1::Ribagorça}} és una comarca bella de Catalunya.<br>Ribagorza es una hermosa comarca de Cataluña.,[sound:ribagora_s_una_comarca_bella_de_catalunya.mp3],Ribagorça és una comarca bella de Catalunya.,Ribagorza es una hermosa comarca de Cataluña.,Ribagorça,Noun (Proper noun),"Catalonia, geography",ribagora_s_una_comarca_bella_de_catalunya.mp3
